Game_ID,Score_Dif,Session_num,Time
2,2,1,19.8
2,4,1,19.416666666666668
2,2,1,19.15
2,5,1,18.183333333333334
2,7,1,17.85
2,5,1,17.016666666666666
2,8,1,16.65
2,10,1,15.55
2,7,1,14.9
2,6,1,14.183333333333334
2,4,1,12.966666666666667
2,6,1,12.433333333333334
2,4,1,12.25
2,6,1,10.783333333333333
2,4,1,10.533333333333333
2,1,1,9.083333333333334
2,3,1,8.233333333333333
2,5,1,7.916666666666667
2,2,1,6.933333333333334
2,0,1,6.133333333333334
2,2,1,5.583333333333333
2,4,1,4.683333333333334
2,1,1,4.533333333333333
2,-1,1,3.35
2,1,1,2.4166666666666665
2,3,1,1.3
2,1,1,0.4
2,3,1,0.26666666666666666
2,5,2,19.5
2,3,2,18.8
2,5,2,18.683333333333334
2,2,2,18.383333333333333
2,4,2,18.133333333333333
2,2,2,17.616666666666667
2,-1,2,16.0
2,1,2,15.65
2,-1,2,15.366666666666667
2,-3,2,14.833333333333334
2,-6,2,13.866666666666667
2,-4,2,11.283333333333333
2,-7,2,11.016666666666667
2,-4,2,10.466666666666667
2,-6,2,10.083333333333334
2,-4,2,9.75
2,-2,2,9.166666666666666
2,-5,2,8.316666666666666
2,-4,2,7.766666666666667
2,-6,2,6.883333333333333
2,-4,2,6.3
2,-7,2,5.666666666666667
2,-10,2,4.766666666666667
2,-12,2,3.95
2,-14,2,2.8166666666666664
2,-11,2,2.45
2,-13,2,2.15
2,-11,2,1.9
2,-13,2,1.65
2,-16,2,0.5166666666666667
