Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Overall,0.11,8.6,8.6,1,0.21,Below Average,3.2,2.8,6,0.47,0.59,0.21,0.12,0.09,0.42
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Overall,0.09,7.5,5.5,0.73,0.79,Very Good,4.1,1.9,6,0.32,0.4,0.15,0.06,0.06,0.3
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Overall,0.08,7.1,6.6,0.93,0.35,Average,3.3,2.4,5.7,0.43,0.51,0.11,0.1,0.09,0.42
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Overall,0.08,6.5,5,0.76,0.73,Very Good,3.7,1.9,5.6,0.34,0.4,0.08,0.07,0.06,0.35
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Overall,0.05,5.7,4.7,0.82,0.6,Good,2.7,1.7,4.4,0.39,0.45,0.14,0.09,0.05,0.38
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Overall,0.03,2.8,2.4,0.85,0.54,Good,1.3,0.8,2.2,0.39,0.5,0.19,0.04,0.04,0.34
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Overall,0.03,3.6,3.2,0.9,0.42,Average,1.7,1.2,2.9,0.42,0.51,0.14,0.06,0.04,0.38
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Overall,0.03,3.1,2.6,0.82,0.6,Good,1.4,0.6,2,0.31,0.41,0.18,0.2,0.18,0.38
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,Overall,0.03,2.3,1.4,0.61,0.92,Excellent,1.1,0.5,1.6,0.29,0.32,0.15,0.17,0.09,0.28
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,Overall,0.02,3.3,2.8,0.87,0.48,Average,1.1,1.1,2.2,0.5,0.54,0.23,0.13,0.13,0.41
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,Overall,0.02,2.6,1.8,0.68,0.86,Excellent,1.3,0.5,1.8,0.29,0.35,0.21,0.12,0.06,0.29
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,Overall,0.02,4,4.1,1.03,0.17,Below Average,1.9,1.4,3.3,0.42,0.52,0.09,0.09,0.06,0.44
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Overall,0.01,2.3,3.4,1.5,0.01,Poor,0.9,1.1,2,0.57,0.71,0,0.13,0.06,0.63
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,Overall,0.01,4.3,3.3,0.77,0.71,Very Good,1.7,1.3,3,0.44,0.56,0.31,0,0,0.31
Benedictine (IL) Eagles,Gio Calabrese,2019-01-26,Play Types,Defensive,Overall,0,0.9,0.7,0.83,-,-,0.3,0.3,0.6,0.5,0.63,0.33,0,0,0.33
Benedictine (IL) Eagles,Justis McNeal,2019-01-26,Play Types,Defensive,Overall,0,1.2,1.4,1.17,-,-,0.4,0.4,0.8,0.5,0.63,0.17,0.17,0.17,0.5
Benedictine (IL) Eagles,Walter Taylor,2019-01-26,Play Types,Defensive,Overall,0,1,1.5,1.5,-,-,0,0.3,0.3,1,1.5,0.25,0.5,0,0.75
Benedictine (IL) Eagles,Isaiah Gransberry,2019-01-26,Play Types,Defensive,Overall,0,0.5,0,0,-,-,0,0,0,-,-,0,1,0,0
Benedictine (IL) Eagles,Mason Sobiesk,2019-01-26,Play Types,Defensive,Overall,0,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Spot Up,0.19,3.8,2.5,0.67,0.86,Excellent,2.2,0.8,3,0.27,0.4,0.17,0.04,0.04,0.24
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Spot Up,0.17,3.5,4,1.15,0.16,Below Average,1.5,1.4,2.9,0.47,0.62,0.09,0.09,0.09,0.47
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Spot Up,0.12,2.4,3.4,1.4,0.04,Poor,0.7,1.1,1.8,0.61,0.82,0.15,0.1,0.1,0.56
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Spot Up,0.11,2.2,2.4,1.07,0.26,Below Average,1.1,0.9,2,0.45,0.56,0.07,0.02,0.02,0.43
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Spot Up,0.09,2.2,1.5,0.67,0.86,Excellent,1.5,0.5,2,0.27,0.35,0.06,0.03,0.03,0.27
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Spot Up,0.06,1.2,1.4,1.13,0.18,Below Average,0.5,0.5,1,0.47,0.63,0.13,0.04,0.04,0.44
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Spot Up,0.05,1.4,1.8,1.25,0.08,Poor,0.6,0.6,1.2,0.47,0.65,0.05,0.1,0.05,0.5
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Spot Up,0.04,1,0.8,0.75,0.76,Very Good,0.6,0.3,0.9,0.29,0.39,0.13,0.06,0.06,0.25
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,Spot Up,0.04,0.7,0.7,1,0.34,Average,0.4,0.3,0.7,0.43,0.5,0,0,0,0.43
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,Spot Up,0.03,0.9,0.7,0.75,0.76,Very Good,0.5,0.2,0.7,0.33,0.5,0.25,0,0,0.25
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,Spot Up,0.03,1.5,1.8,1.17,0.14,Poor,0.9,0.5,1.4,0.36,0.55,0,0.08,0.08,0.42
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,Spot Up,0.03,0.9,0.4,0.46,0.97,Excellent,0.5,0.2,0.7,0.25,0.31,0.27,0,0,0.18
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Spot Up,0.02,0.9,0.7,0.83,-,-,0.6,0.3,0.9,0.33,0.42,0,0,0,0.33
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,Spot Up,0.01,1,1,1,-,-,0.3,0.3,0.7,0.5,0.75,0.33,0,0,0.33
Benedictine (IL) Eagles,Gio Calabrese,2019-01-26,Play Types,Defensive,Spot Up,0.01,0.4,0.4,1,-,-,0.3,0.1,0.4,0.33,0.5,0,0,0,0.33
Benedictine (IL) Eagles,Mason Sobiesk,2019-01-26,Play Types,Defensive,Spot Up,0,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.28,3,3.1,1.03,0.16,Below Average,1,1,2,0.5,0.6,0.2,0.14,0.1,0.46
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.14,1.9,2,1.03,0.15,Below Average,0.5,0.8,1.3,0.63,0.66,0.24,0.14,0.07,0.48
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.1,1.1,0.6,0.57,0.77,Very Good,0.5,0.3,0.7,0.36,0.36,0.24,0.14,0.1,0.29
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.09,1,0.4,0.42,0.9,Excellent,0.6,0.2,0.8,0.25,0.25,0.16,0,0,0.21
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.09,1.4,0.9,0.63,0.69,Very Good,0.6,0.4,1,0.43,0.43,0.26,0,0,0.32
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.06,1.6,2.1,1.31,0.03,Poor,0.5,0.8,1.3,0.6,0.65,0.08,0.15,0.08,0.62
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.06,0.6,0.6,0.92,0.26,Below Average,0.2,0.2,0.3,0.5,0.75,0.42,0.08,0.08,0.33
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.04,0.5,0.4,0.88,-,-,0.2,0.1,0.3,0.25,0.25,0.13,0.38,0.25,0.5
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.03,0.5,0.3,0.67,-,-,0.2,0.2,0.4,0.4,0.4,0.17,0,0,0.33
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.02,0.7,1.6,2.2,-,-,0.1,0.6,0.7,0.8,1.1,0,0,0,0.8
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.02,1.7,0.7,0.4,-,-,1,0.3,1.3,0.25,0.25,0.2,0,0,0.2
Benedictine (IL) Eagles,Walter Taylor,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.8,1.3,1.67,-,-,0,0.3,0.3,1,1.5,0.33,0.33,0,0.67
Benedictine (IL) Eagles,Justis McNeal,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.6,0.4,0.67,-,-,0.2,0,0.2,0,0,0.33,0.33,0.33,0.33
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.2,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0
Benedictine (IL) Eagles,Gio Calabrese,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.3,0.3,1,-,-,0,0.1,0.1,1,1,0.5,0,0,0.5
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,P&R Ball Handler,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Post-Up,0.34,2.9,1.7,0.58,0.86,Excellent,1.6,0.6,2.2,0.27,0.27,0.09,0.14,0.12,0.32
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,Post-Up,0.15,1.3,0.7,0.56,0.87,Excellent,0.4,0.2,0.6,0.27,0.27,0.28,0.28,0.12,0.28
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Post-Up,0.13,1.1,1.1,0.96,0.32,Average,0.6,0.4,1,0.4,0.4,0,0.14,0.14,0.46
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,Post-Up,0.1,1.4,1.7,1.18,0.11,Poor,0.2,0.7,0.8,0.8,0.8,0.24,0.24,0.24,0.59
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Post-Up,0.07,0.6,0.2,0.33,0.98,Excellent,0.4,0.1,0.5,0.22,0.22,0.17,0.08,0.08,0.17
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,Post-Up,0.05,0.6,0.4,0.63,-,-,0.3,0.1,0.4,0.2,0.2,0.25,0.25,0.13,0.25
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Post-Up,0.04,0.4,0.3,0.71,-,-,0.2,0.1,0.2,0.25,0.25,0.29,0.29,0.29,0.29
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Post-Up,0.04,0.4,0.3,0.86,-,-,0.2,0.2,0.4,0.43,0.43,0,0,0,0.43
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Post-Up,0.02,0.3,0.3,1,-,-,0.1,0.1,0.1,0.5,0.5,0.25,0.25,0.25,0.5
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Post-Up,0.02,0.2,0.1,0.67,-,-,0.1,0.1,0.2,0.33,0.33,0,0,0,0.33
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Post-Up,0.01,0.1,0.1,1,-,-,0.1,0,0.1,0,0,0,0.5,0,0.5
Benedictine (IL) Eagles,Walter Taylor,2019-01-26,Play Types,Defensive,Post-Up,0.01,0.3,0.3,1,-,-,0,0,0,-,-,0,1,0,1
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Post-Up,0.01,0.1,0.3,2,-,-,0,0,0,-,-,0,1,1,1
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Off Screen,0.25,1.2,1.1,0.92,0.48,Average,0.5,0.4,0.9,0.44,0.56,0.17,0.08,0.04,0.38
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Off Screen,0.15,0.7,0.7,1,0.39,Average,0.4,0.3,0.7,0.46,0.5,0,0.07,0.07,0.5
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Off Screen,0.14,0.8,0.6,0.77,0.63,Good,0.4,0.2,0.6,0.3,0.4,0.15,0.08,0.08,0.31
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Off Screen,0.13,0.6,0.7,1.08,0.32,Average,0.3,0.2,0.5,0.44,0.61,0.17,0.08,0.08,0.42
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Off Screen,0.08,0.4,0,0,-,-,0.4,0,0.4,0,0,0.13,0,0,0
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Off Screen,0.06,0.4,0.3,0.83,-,-,0.3,0.1,0.4,0.33,0.42,0,0,0,0.33
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,Off Screen,0.04,0.5,0,0,-,-,0.4,0,0.4,0,0,0.25,0,0,0
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Off Screen,0.03,0.2,0.4,2,-,-,0.1,0.1,0.2,0.67,1,0,0.33,0.33,0.67
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,Off Screen,0.03,0.2,0.2,0.67,-,-,0.2,0,0.2,0,0,0,0.33,0,0.33
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,Off Screen,0.02,0.7,1,1.5,-,-,0.3,0.3,0.7,0.5,0.75,0,0,0,0.5
Benedictine (IL) Eagles,Justis McNeal,2019-01-26,Play Types,Defensive,Off Screen,0.02,0.4,0.6,1.5,-,-,0.2,0.2,0.4,0.5,0.75,0,0,0,0.5
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Off Screen,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Off Screen,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Gio Calabrese,2019-01-26,Play Types,Defensive,Off Screen,0.01,0.1,0,0,-,-,0,0,0,-,-,1,0,0,0
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,Off Screen,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Isolation,0.26,1.2,0.5,0.39,0.9,Excellent,0.6,0.1,0.7,0.14,0.14,0.3,0.13,0.04,0.17
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Isolation,0.14,0.6,0.3,0.5,0.81,Very Good,0.3,0.1,0.4,0.25,0.25,0.17,0.17,0.08,0.33
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Isolation,0.13,0.6,0.4,0.64,0.67,Very Good,0.3,0.2,0.4,0.38,0.38,0.27,0.09,0.09,0.27
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Isolation,0.12,0.7,0.5,0.8,0.45,Average,0.3,0.2,0.5,0.43,0.43,0.2,0.1,0,0.4
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Isolation,0.09,0.4,0.3,0.75,-,-,0.2,0.2,0.4,0.43,0.43,0.13,0,0,0.38
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Isolation,0.06,0.3,0.3,1,-,-,0,0,0,-,-,0.2,0.8,0.8,0.8
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,Isolation,0.05,0.3,0.2,0.5,-,-,0.2,0.1,0.2,0.33,0.33,0.25,0,0,0.25
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Isolation,0.03,0.2,0,0,-,-,0.2,0,0.2,0,0,0,0,0,0
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,Isolation,0.03,0.3,0.3,1.33,-,-,0.1,0.1,0.2,0.5,0.5,0,0.33,0.33,0.67
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,Isolation,0.02,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Isaiah Gransberry,2019-01-26,Play Types,Defensive,Isolation,0.01,0.5,0,0,-,-,0,0,0,-,-,0,1,0,0
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Isolation,0.01,0.1,0.3,2,-,-,0,0,0,-,-,0,1,0,1
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,Isolation,0.01,0.3,0,0,-,-,0,0,0,-,-,1,0,0,0
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,Isolation,0.01,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Justis McNeal,2019-01-26,Play Types,Defensive,Isolation,0.01,0.2,0.4,2,-,-,0,0.2,0.2,1,1,0,0,0,1
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Isolation,0.01,0.1,0.1,2,-,-,0,0.1,0.1,1,1,0,0,0,1
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,P&R Roll Man,0.28,0.8,0.5,0.67,0.74,Very Good,0.5,0.2,0.7,0.29,0.36,0.07,0,0,0.27
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,P&R Roll Man,0.09,0.4,0.4,1,-,-,0.3,0.2,0.4,0.4,0.5,0,0,0,0.4
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,P&R Roll Man,0.06,0.2,0,0,-,-,0.1,0,0.1,0,0,0.67,0,0,0
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,P&R Roll Man,0.06,0.2,0.4,2.33,-,-,0,0.2,0.2,1,1.17,0,0,0,1
Benedictine (IL) Eagles,Collin Mergl,2019-01-26,Play Types,Defensive,P&R Roll Man,0.06,0.2,0,0,-,-,0.1,0,0.1,0,0,0,0.33,0.33,0
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,P&R Roll Man,0.04,0.1,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0
Benedictine (IL) Eagles,Jaquan Phipps,2019-01-26,Play Types,Defensive,P&R Roll Man,0.02,0.1,0.1,1,-,-,0,0,0,-,-,0,1,1,1
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,P&R Roll Man,0.02,0.3,0.7,2,-,-,0,0.3,0.3,1,1,0,0,0,1
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,P&R Roll Man,0.02,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,P&R Roll Man,0.02,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0
Benedictine (IL) Eagles,Kyle Graebner,2019-01-26,Play Types,Defensive,Hand Off,0.21,0.5,0.4,0.78,-,-,0.2,0.2,0.3,0.5,0.58,0.33,0.11,0.11,0.33
Benedictine (IL) Eagles,Kenny Bogus,2019-01-26,Play Types,Defensive,Hand Off,0.16,0.4,0.5,1.43,-,-,0.2,0.2,0.3,0.5,0.67,0,0.14,0.14,0.57
Benedictine (IL) Eagles,Bryan Jacobsze,2019-01-26,Play Types,Defensive,Hand Off,0.16,0.4,0.4,1,-,-,0.2,0.1,0.3,0.33,0.42,0,0.14,0.14,0.43
Benedictine (IL) Eagles,Eric Grygo,2019-01-26,Play Types,Defensive,Hand Off,0.09,0.2,0.2,0.75,-,-,0.2,0.1,0.2,0.25,0.38,0,0,0,0.25
Benedictine (IL) Eagles,Michael Johnson,2019-01-26,Play Types,Defensive,Hand Off,0.09,0.3,0.2,0.75,-,-,0.1,0.1,0.1,0.5,0.5,0.25,0.25,0.25,0.5
Benedictine (IL) Eagles,Hayden Helfrich,2019-01-26,Play Types,Defensive,Hand Off,0.05,0.1,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0
Benedictine (IL) Eagles,Marques Barnes,2019-01-26,Play Types,Defensive,Hand Off,0.05,0.3,0.6,2,-,-,0,0.3,0.3,1,1,0,0,0,1
Benedictine (IL) Eagles,Derrick Faulkner,2019-01-26,Play Types,Defensive,Hand Off,0.05,0.3,0.3,1,-,-,0,0.1,0.1,1,1,0.5,0,0,0.5
Benedictine (IL) Eagles,Keegan Graebner,2019-01-26,Play Types,Defensive,Hand Off,0.05,0.1,0.2,1.5,-,-,0,0.1,0.1,1,1.5,0.5,0,0,0.5
Benedictine (IL) Eagles,Carl Singletary,2019-01-26,Play Types,Defensive,Hand Off,0.05,0.1,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0
Benedictine (IL) Eagles,Kyle Hornacek,2019-01-26,Play Types,Defensive,Hand Off,0.02,0.1,0,0,-,-,0,0,0,-,-,1,0,0,0
Benedictine (IL) Eagles,Troy Burrows,2019-01-26,Play Types,Defensive,Hand Off,0.02,0.3,0,0,-,-,0,0,0,-,-,1,0,0,0
Milwaukee School of Engineering,Jason Palesse,2019-01-26,Play Types,Defensive,Overall,0.08,7.1,5.2,0.74,0.77,Very Good,3.6,2,5.6,0.36,0.41,0.15,0.06,0.06,0.33
Milwaukee School of Engineering,Matthew Kirmse,2019-01-26,Play Types,Defensive,Overall,0.08,6.8,5.6,0.81,0.62,Good,3.4,2,5.4,0.37,0.44,0.15,0.1,0.1,0.34
Milwaukee School of Engineering,Travis Ballard,2019-01-26,Play Types,Defensive,Overall,0.06,5.4,4.2,0.78,0.69,Very Good,2.9,1.7,4.6,0.36,0.39,0.07,0.08,0.07,0.38
Milwaukee School of Engineering,Josh Herzog,2019-01-26,Play Types,Defensive,Overall,0.06,4.9,4.2,0.85,0.52,Good,2.7,1.5,4.2,0.36,0.42,0.08,0.11,0.08,0.37
Milwaukee School of Engineering,Michael Pitrof,2019-01-26,Play Types,Defensive,Overall,0.06,4.8,4.8,1,0.21,Below Average,2.6,1.6,4.2,0.39,0.48,0.05,0.12,0.09,0.42
Milwaukee School of Engineering,Jake Gebert,2019-01-26,Play Types,Defensive,Overall,0.05,5.1,3.8,0.74,0.76,Very Good,2.6,1.3,3.8,0.33,0.41,0.16,0.1,0.07,0.33
Milwaukee School of Engineering,Bailey Mcdaniel,2019-01-26,Play Types,Defensive,Overall,0.05,4.6,4.9,1.07,0.13,Poor,1.7,1.8,3.6,0.52,0.63,0.17,0.06,0.06,0.44
Milwaukee School of Engineering,Gabe Wear,2019-01-26,Play Types,Defensive,Overall,0.04,4.9,3.6,0.74,0.77,Very Good,2.8,1.5,4.3,0.34,0.39,0.09,0.06,0.04,0.32
Milwaukee School of Engineering,Sammy Linn,2019-01-26,Play Types,Defensive,Overall,0.04,2.9,2.2,0.76,0.74,Very Good,1.6,0.8,2.4,0.33,0.4,0.11,0.09,0.09,0.32
Milwaukee School of Engineering,Dylan Hamlin,2019-01-26,Play Types,Defensive,Overall,0.02,2.1,1.9,0.89,0.45,Average,1.1,0.8,1.9,0.44,0.47,0.03,0.08,0.08,0.44
Milwaukee School of Engineering,Ty Miklowski,2019-01-26,Play Types,Defensive,Overall,0.02,2.1,2.4,1.13,0.08,Poor,0.8,0.7,1.5,0.47,0.56,0.09,0.22,0.17,0.48
Milwaukee School of Engineering,David Llorente,2019-01-26,Play Types,Defensive,Overall,0.01,1.6,1.5,0.91,0.41,Average,0.8,0.5,1.3,0.35,0.44,0.1,0.1,0.05,0.38
Milwaukee School of Engineering,Anthony Bartman,2019-01-26,Play Types,Defensive,Overall,0.01,1.4,1.3,0.95,0.31,Average,0.5,0.5,1,0.53,0.6,0.19,0.1,0.1,0.48
Milwaukee School of Engineering,Matt Powers,2019-01-26,Play Types,Defensive,Overall,0,0.8,0.1,0.17,-,-,0.6,0,0.6,0,0,0,0.17,0,0.17
Milwaukee School of Engineering,Kam Mitchell,2019-01-26,Play Types,Defensive,Overall,0,1,1.3,1.33,-,-,0.3,0.5,0.8,0.6,0.8,0.17,0,0,0.5
Milwaukee School of Engineering,Deonte Vanselow,2019-01-26,Play Types,Defensive,Overall,0,0.8,0.8,1,-,-,0.5,0.3,0.8,0.4,0.5,0,0,0,0.4
Milwaukee School of Engineering,Will Busch,2019-01-26,Play Types,Defensive,Overall,0,0.6,0.3,0.5,-,-,0.3,0.1,0.4,0.33,0.33,0.25,0,0,0.25
Milwaukee School of Engineering,Jack Haek,2019-01-26,Play Types,Defensive,Overall,0,0.4,0,0,-,-,0.4,0,0.4,0,0,0,0,0,0
Milwaukee School of Engineering,Noah Blue,2019-01-26,Play Types,Defensive,Overall,0,0.3,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0
Milwaukee School of Engineering,Zach Krysztopik,2019-01-26,Play Types,Defensive,Overall,0,0.7,0,0,-,-,0.7,0,0.7,0,0,0,0,0,0
Milwaukee School of Engineering,Matthew Kirmse,2019-01-26,Play Types,Defensive,Spot Up,0.14,2.3,2.2,0.95,0.42,Average,1.2,0.7,1.9,0.37,0.46,0.07,0.12,0.12,0.39
Milwaukee School of Engineering,Jason Palesse,2019-01-26,Play Types,Defensive,Spot Up,0.12,2,1.1,0.56,0.94,Excellent,1.3,0.4,1.7,0.23,0.28,0.11,0.08,0.06,0.22
Milwaukee School of Engineering,Travis Ballard,2019-01-26,Play Types,Defensive,Spot Up,0.11,1.8,0.9,0.52,0.95,Excellent,1.3,0.3,1.6,0.21,0.26,0.06,0.06,0.03,0.24
Milwaukee School of Engineering,Jake Gebert,2019-01-26,Play Types,Defensive,Spot Up,0.1,1.8,1.8,1,0.34,Average,0.8,0.6,1.4,0.41,0.57,0.14,0.07,0.07,0.39
Milwaukee School of Engineering,Bailey Mcdaniel,2019-01-26,Play Types,Defensive,Spot Up,0.1,1.6,1.3,0.82,0.65,Very Good,0.8,0.4,1.2,0.36,0.48,0.18,0.04,0.04,0.32
