Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,From,Game_ID,Lineup_ID,Lineup_Players,Lineup_Score,Min,OffReb,Oppo_Ast,Oppo_Block,Oppo_DefReb,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_FTA,Oppo_FTM,Oppo_FTm,Oppo_Foul,Oppo_OffReb,Oppo_Score,Oppo_Stl,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_TtlReb,Oppo_Turnover,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,PlusMinus,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,To,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,session_number
0,0,4,8,3,5,0,0,0,0,10.55,13,6,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",6,3.41666666666667,2,0,0,3,5,1,4,0,0,0,1,0,2,0,2,0,2,3,2,3,1,2,4,1,Illinois Tech Scarlet Hawks,0,0,0,7.13333333333333,6,0,8,3,5,1
2,0,1,3,2,1,0,0,0,0,7.13333333333333,13,7,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Zach Parduhn",6,2.73333333333333,0,1,0,1,3,1,2,0,0,0,0,0,3,0,3,1,2,1,1,0,0,0,3,0,Illinois Tech Scarlet Hawks,2,2,0,4.4,1,1,1,0,1,1
0,0,2,4,1,3,0,0,0,1,4.4,13,8,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",2,2.9,1,0,0,2,3,1,2,2,2,0,0,0,4,0,1,0,1,2,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,1,0,1,1.5,3,2,3,1,2,1
0,0,2,2,2,0,0,0,0,0,1.5,13,9,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",4,1.5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,2,0,2,2,0,1
2,0,1,4,2,2,0,0,0,0,20,13,10,"Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",6,2.98333333333333,0,0,0,2,3,2,1,0,0,0,0,0,4,0,0,0,0,2,1,3,2,1,2,0,Illinois Tech Scarlet Hawks,3,2,1,17.0166666666667,1,1,1,0,1,2
2,1,1,3,2,1,2,0,2,0,17.0166666666667,13,11,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",5,2.8,0,1,0,2,5,2,3,0,0,0,2,2,4,0,1,0,1,4,1,4,2,2,1,1,Illinois Tech Scarlet Hawks,2,1,1,14.2166666666667,1,0,1,1,0,2
1,0,1,1,1,0,2,1,1,1,14.2166666666667,13,12,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",3,1.58333333333333,0,1,0,0,2,1,1,2,2,0,1,0,4,1,1,0,1,0,1,1,1,0,-1,1,Illinois Tech Scarlet Hawks,0,0,0,12.6333333333333,1,2,1,1,0,2
0,0,0,3,0,3,4,4,0,1,12.6333333333333,13,13,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",4,1.85,2,3,1,1,4,4,0,1,1,0,2,0,10,0,1,1,0,1,0,3,3,0,-6,0,Illinois Tech Scarlet Hawks,1,0,1,10.7833333333333,2,0,2,0,2,2
0,0,1,0,0,0,0,0,0,1,10.7833333333333,13,14,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",0,0.483333333333333,0,0,0,0,2,0,2,2,0,2,0,2,0,1,1,0,1,2,0,1,0,1,0,0,Illinois Tech Scarlet Hawks,0,0,0,10.3,1,1,0,0,0,2
2,0,1,2,2,0,2,2,0,1,10.3,13,15,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",7,1.53333333333333,0,0,0,0,1,0,1,2,2,0,2,0,2,0,1,0,1,0,0,0,0,0,5,0,Illinois Tech Scarlet Hawks,1,1,0,8.76666666666667,1,0,1,1,0,2
0,0,2,2,1,1,1,0,1,1,8.76666666666667,13,16,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Otis Reale,Parker Joncus",2,1.73333333333333,0,0,0,2,3,1,2,2,2,0,1,0,4,0,1,0,1,2,0,2,1,1,-2,0,Illinois Tech Scarlet Hawks,0,0,0,7.03333333333333,2,0,2,1,1,2
1,0,1,2,1,1,1,0,1,1,7.03333333333333,13,17,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",3,1.91666666666667,0,1,0,2,1,1,0,2,1,1,1,0,4,0,1,1,0,2,1,0,0,0,-1,1,Illinois Tech Scarlet Hawks,1,1,0,5.11666666666667,1,0,1,0,1,2
3,1,2,6,3,3,4,3,1,2,5.11666666666667,13,18,"Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",9,5.11666666666667,0,3,1,3,11,5,6,3,1,2,2,1,14,1,7,3,4,4,0,4,2,2,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,2,2,5,3,2,2
3,0,2,10,4,6,0,0,0,3,20.0,13,1,"Bryan Jacobsze,Eric Grygo,Kenny Bogus,Kyle Graebner,Michael Johnson",10,6.566666666666666,1,3,1,5,10,5,5,0,0,0,1,2,12,0,4,2,2,7,1,6,3,3,-2,0,Benedictine (IL) Eagles,4,2,2,13.433333333333334,3,1,6,2,4,1
0,0,0,0,0,0,2,1,1,0,13.433333333333334,13,2,"Carl Singletary,Collin Mergl,Eric Grygo,Hayden Helfrich,Kenny Bogus",1,0.34999999999999964,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,-1,0,Benedictine (IL) Eagles,0,0,0,13.083333333333334,0,0,0,0,0,1
0,0,5,9,2,7,0,0,0,4,13.083333333333334,13,3,"Carl Singletary,Collin Mergl,Hayden Helfrich,Keegan Graebner,Kenny Bogus",4,5.95,0,1,0,7,13,5,8,3,3,0,1,3,13,2,0,0,0,10,1,13,5,8,-9,1,Benedictine (IL) Eagles,4,0,4,7.133333333333334,5,3,5,2,3,1
1,0,1,3,1,2,0,0,0,0,7.133333333333334,13,4,"Bryan Jacobsze,Eric Grygo,Keegan Graebner,Kyle Graebner,Michael Johnson",3,2.7333333333333334,0,2,0,1,3,2,1,0,0,0,0,0,6,0,2,2,0,1,1,1,0,1,-3,0,Benedictine (IL) Eagles,3,1,2,4.4,1,1,0,0,0,1
0,0,2,6,1,5,2,2,0,0,4.4,13,5,"Eric Grygo,Keegan Graebner,Kenny Bogus,Kyle Graebner,Michael Johnson",4,4.4,0,0,0,4,6,3,3,0,0,0,1,1,6,0,1,0,1,5,2,5,3,2,0,0,Benedictine (IL) Eagles,2,0,2,0.0,2,0,4,1,3,1
1,0,4,8,4,4,0,0,0,2,20.0,13,6,"Bryan Jacobsze,Eric Grygo,Kenny Bogus,Kyle Graebner,Michael Johnson",8,5.783333333333333,2,4,1,2,7,4,3,2,0,2,0,0,11,1,5,3,2,2,1,2,1,1,-3,0,Benedictine (IL) Eagles,1,0,1,14.216666666666667,6,2,7,4,3,2
1,0,0,2,1,1,2,2,0,1,14.216666666666667,13,7,"Bryan Jacobsze,Eric Grygo,Keegan Graebner,Kenny Bogus,Kyle Graebner",4,1.583333333333334,0,1,0,1,1,1,0,2,1,1,1,0,3,1,0,0,0,1,2,1,1,0,1,1,Benedictine (IL) Eagles,1,0,1,12.633333333333333,0,1,1,1,0,2
